index,statement,consensus,confidence,num_samples
61,it showed exactly how the government and the casing around the end of the movie has a cutting edge to it,1,1.0,11
62,sound,0,1.0,11
63,is perfect and the family atmosphere is nice to see,1,1.0,11
64,whom walked out,0,1.0,11
65,this battery works for people exclaim whoa is full but the least said of so damn pho,1,1.0,11
66,a lovely duo of violinists playing songs we requested,1,1.0,11
67,an exercise in frustration,1,1.0,11
68,style has the appearance of crayonpencil drawings and is obviously very comfortable in my cell phone number keypad,0,1.0,11
69,of the real torture,0,1.0,11
70,edge of my money and time after the first phone ive ever heard,0,1.0,11
71,never worked well in the past and certainly doesnt work here,1,1.0,11
72,it which is really disappointing,1,1.0,11
73,chips and salsa were really good the salsa was very fresh,1,1.0,11
74,fine power via usb car or wall outlet,0,1.0,11
75,a world better than of the garbage in the theatres today,1,1.0,11
76,in usefulness and is sturdy enough i dont expect any helpful support,1,1.0,11
77,this film,0,1.0,11
78,everyone who are enough good as elaborately and left,0,1.0,11
79,are these sad little vegetables so overcooked,1,1.0,11
80,tasted like tomato soup with frozen meatballs,1,1.0,11
81,was there was no decent acting action or location work to balance things up,1,1.0,11
82,ending,0,1.0,11
83,looking at family relationships and marriage,0,1.0,11
84,privileged about workingeating there,0,1.0,11
85,deal included tastings and drinks and jeff went above and beyond what we expected,1,1.0,11
86,still trying hard to eat in madison for free tool,0,1.0,11
87,well,0,1.0,11
88,very convenient since and its too bulky,0,1.0,11
89,each of her pictures,0,1.0,11
90,if you are staying in the summer,0,1.0,11
91,shawarrrrrrma,0,1.0,11
92,amount of sauce to not purchase this phone as a replacement for the ringer is real good,1,1.0,11
93,space is worse,0,1.0,11
94,was no decent acting action or location work to balance things up,1,1.0,11
95,not decide,0,1.0,11
96,easier to give a long that pitch black eyed peas and worse than me to solidify it for gods sake,0,1.0,11
97,have called it applifies everything,0,1.0,11
98,a fabulous vinegrette,1,1.0,11
99,charger seems to work fine,1,1.0,11
100,stars,0,1.0,11
101,be disappointed,0,1.0,11
102,good time and was happy with it,1,1.0,11
103,the sound is clear and loud and the charge lasts a couple of days,1,1.0,11
104,probably wont work perfectly,0,1.0,11
105,especially enjoyed the salmon salad,1,1.0,11
106,was very attentive,1,1.0,11
107,despicable but this just wasnt food,1,1.0,11
108,anyone interested in the worst sins of industrial design,0,1.0,11
109,dropped face down my lc and are included,0,1.0,11
110,combination of pears almonds and bacon is soooo good,1,1.0,11
111,sites in the span of an hour i had the opportunity today to sample your amazing pizzas,1,1.0,11
112,little slow in service,1,1.0,11
113,pizza which used to work fine,0,1.0,11
114,videos at a time and the quality was very poor,1,1.0,11
115,daughter,0,1.0,11
116,legs definitely did not taste fresh,1,1.0,11
117,star trek v the final frontier is the ventilation could use some upgrading,1,1.0,11
118,that word loosely is an insult to ones intelligence and a huge waste of money,1,1.0,11
119,attentive as for pancakes with a bad review noted plug works great software for shawarrrrrrma,0,1.0,11
120,totally blows,1,1.0,11
121,well but according to people i have called it applifies everything,0,1.0,11
122,leather with nice shine and comfort i recommend you this case,1,1.0,11
123,are nice and clear with great graphics,1,1.0,11
124,the owners ive been simpler,0,1.0,11
125,audio,0,1.0,11
126,motorola and we literally had perfect service was the film thats rightthe red curry had happened next to deliver,0,1.0,11
127,smoothies that ive tried so far and theyre all good,1,1.0,11
128,product,0,1.0,11
129,way,0,1.0,11
130,what i wanted,0,1.0,11
131,other subway will not meet your expectations,1,1.0,11
132,up a steak i dont recommend unless your car breaks down in front of it and very little music or anything,1,1.0,11
133,horrible had to switch times,1,1.0,11
134,i usually dont like it could have been to hard rock casino before will never be back yaall,1,1.0,11
135,are weak,0,1.0,11
136,girlfriends veal was very bad,1,1.0,11
137,any brand,0,1.0,11
138,regular,0,1.0,11
139,unless someone me feel and i definitely a cult classic well,0,1.0,11
140,comes,0,1.0,11
141,great food for the price which is very important for a nyc commuter,1,1.0,11
142,my favorite purchases ever,1,1.0,11
143,as if the food out to be despicable but this just wasnt food,1,1.0,11
144,item for their frozen meatballs,0,1.0,11
145,violinists playing songs we requested,0,1.0,11
146,of the first thing that disappoint me is the food here,1,1.0,11
147,which is infuriating,0,1.0,11
148,ill even say it again this is torture,1,1.0,11
149,being like that,0,1.0,11
150,about this place but it does everything pretty well,1,1.0,11
151,is defective crap ever made,1,1.0,11
152,days and it is light has plenty of humorous parts,1,1.0,11
153,each day of the first charge kept going dead after minutes,1,1.0,11
154,ca usb cable did not work with my phone,1,1.0,11
155,be ergonomic in theory but i could not stand having these in my ear,1,1.0,11
156,refuse to refund or replace,1,1.0,11
157,vibe in the restaurant,0,1.0,11
158,stay with some highlights great charger,1,1.0,11
159,hasnt closed down,0,1.0,11
160,macarons here are insanely good,1,1.0,11
161,this movie it is the dumbest thing you have never seen,1,1.0,11
162,any item on the menu is always changing food quality is going down service is extremely slow,1,1.0,11
163,flip phones,0,1.0,11
164,powerful explorations of the nature of man and of art,1,1.0,11
165,for the charger seems to work fine,1,1.0,11
166,is far and much flavor,0,1.0,11
167,charisma and terrible comedic timing,0,1.0,11
168,for another minutes before being acknowledged,0,1.0,11
169,of horror ever,0,1.0,11
170,a nice surprise,1,1.0,11
171,for comfort clarity,0,1.0,11
172,too heavyit keeps falling out of a bluetooth headset,1,1.0,11
173,calls because of this practice,0,1.0,11
174,purchasing,0,1.0,11
175,all my calls that i have never experienced before,0,1.0,11
176,it such a bad review,0,1.0,11
177,unconditional love the car with capers even say our needs and im an example of the jawbone,0,1.0,11
178,day of the week they have a really nice atmosphere,1,1.0,11
179,had never eaten thai food go else where,1,1.0,11
180,later i am very odd lines the food was prettyoff putting the outside for the point is very cool,1,1.0,11
181,again,0,1.0,11
182,prompted such a documentary is beyond me,1,1.0,11
183,veggitarian platter is out of this world,1,1.0,11
184,im glad i did like was the slow service,0,1.0,11
185,pace,0,1.0,11
186,has it,0,1.0,11
187,but ive had a lovely film is made some of garbage in any uniqueness to minutes late,0,1.0,11
188,up like normal phone does,0,1.0,11
189,i dont each much pasta but i love the camera its really pretty good quality,1,1.0,11
190,consistent with their boba and it has on your phone,0,1.0,11
191,otto always make us feel so welcome and special,1,1.0,11
192,restaurant,0,1.0,11
193,it is not lacking in for her going back,0,1.0,11
194,days and it wasnt always easy to hear with,0,1.0,11
195,a sunday night,0,1.0,11
196,albondigas soup which was just warm and tasted like tomato soup with frozen meatballs,1,1.0,11
197,it really is impressive that the instructions provided were helpful to me,1,1.0,11
198,windows media player,0,1.0,11
199,chipotle but better,1,1.0,11
200,irritating show i have ever had,1,1.0,11
201,of a phone is reasonably good,1,1.0,11
202,was delicate and cool,1,0.8181818181818182,11
203,them and neither will charge,0,1.0,11
204,recommended it to anyone to go back there,1,1.0,11
205,frenchman,0,1.0,11
206,love being sold,0,1.0,11
207,deserves stars,1,1.0,11
208,were absolutely stars,1,1.0,11
209,consumer experience from motorola,0,1.0,11
210,were monotonous didnt work great service,1,1.0,11
211,this movie is possibly one of the most disappointing aspects is the lack of notable gore,1,1.0,11
212,me,0,1.0,11
213,should have flavor,0,1.0,11
214,recommendation and was not disappointed,1,1.0,11
215,person and pretty sure who in the garbage for about this one but it specially when you wont regret it,0,1.0,11
216,so good,1,1.0,11
217,as the actors,0,1.0,11
218,good and friendly she made our day,1,1.0,11
219,not be getting that again,1,1.0,11
220,with martin and emilio contains the same phone even when turned up to this place and will get again for free,0,1.0,11
221,i couldnt be overpriced,0,1.0,11
222,this is that were excellent service and disrespected,1,1.0,11
223,egg rolls were fantastic,1,1.0,11
224,cutie,0,1.0,11
225,good for this atrocity,0,1.0,11
226,volcano in los angeles is nothing but nonsense,1,1.0,11
227,puff of cream was clear sound,0,1.0,11
228,clean friendly staff,1,1.0,11
229,and camera phone is poor hummh,1,1.0,11
230,out and crusty and the food was above average or worth the wait that we had for it,1,1.0,11
231,i did,0,1.0,11
232,deal,0,1.0,11
233,all the characters have good genuine hearts and believable problems,1,1.0,11
234,food and unreliable im officially done well just bad you barking mad,1,1.0,11
235,knew how to string together narrative,0,1.0,11
236,great as always the evening was wonderful and imaginative menu,1,1.0,11
237,cutouts and buttons are placed perfectly,1,1.0,11
238,into dark sitcoms oriented for wasting food was decidely wooden floor,0,1.0,11
239,despised it,1,1.0,11
240,apt,0,1.0,11
241,and considering the two of us left there very full and happy for about you just cant go wrong,1,1.0,11
242,intoning odd lines,0,1.0,11
243,phone,0,1.0,11
244,disgusting piece of blatant american propaganda,1,1.0,11
245,bose noise cancelling is amazing which is very important for a nyc commuter,1,1.0,11
246,look too appealing,0,1.0,11
247,beautiful phone into a sobaditsgood or something healthy but then says it says it,0,1.0,11
248,were lacking,0,1.0,11
249,it feels more comfortable than most headsets because i wear glasses and that gets in the way of dramatic tension or conflict,1,1.0,11
250,had better than new,0,1.0,11
251,not be back here again,1,1.0,11
252,this is the mode set button at the quality too,0,1.0,11
253,pretty well,1,1.0,11
254,later i returned and had to continue pairing it periodically since it looks and mostly not edible,1,1.0,11
255,each other,0,1.0,11
256,flawed mess,1,1.0,11
257,not only ripped but petrified and tasteless,1,1.0,11
258,in the southwest,0,1.0,11
259,i was no plot,0,1.0,11
260,service,0,1.0,11
261,horrible dont waste your time and money,1,1.0,11
262,generous in use but shouting on pretty sure that went very good,0,1.0,11
263,must have this,0,1.0,11
264,unreliable service from tmobile,1,1.0,11
265,seafood salad with a fabulous vinegrette,0,0.6363636363636364,11
266,just a whiny spoiled brat babysitting,1,1.0,11
267,price,0,1.0,11
268,later discarded because the selection on any virtue in space and had this contract and have ever had lunch,0,1.0,11
269,straw in this is,0,1.0,11
270,by landline and cell,0,1.0,11
271,time going but i think i will quickly become a regular,1,1.0,11
272,music in,0,1.0,11
273,place is handsdown one of the few places in phoenix that i would definately go back to again,1,1.0,11
274,theres not enough movies out there like this one,1,1.0,11
275,noises before it ends the call,0,1.0,11
276,never seen,0,1.0,11
277,wasnt worth wasting my purchase,1,1.0,11
278,owned i saw in the salmon sashimi,0,1.0,11
279,a professional degree,0,1.0,11
280,daily specials are always a hit with my group,1,1.0,11
281,awesome if you havent gone here go now,1,1.0,11
282,after months screen just went black all of the headsets is poor very poor,1,1.0,11
283,this earpiece,0,1.0,11
284,ends,0,1.0,11
285,battery went completely dead on my headset,0,1.0,11
286,were not hot and neither will charge,1,1.0,11
287,wedges were absolutely amazing pizzas here in good pace his reactions to in madison for your time here at best,1,0.9090909090909091,11
288,average or worth the wait that we had for it,1,1.0,11
289,me to get this junk i have no idea,0,1.0,11
290,like strings of giallo subgenre,0,1.0,11
291,any real suspense,0,1.0,11
292,them preparing the delicious food,0,1.0,11
293,them again and again,0,1.0,11
294,receiving and using the product for just days it broke,1,1.0,11
295,fry love it,1,1.0,11
296,excellent job of revealing the complexity of the task and the incredible challenges facing south africa,1,1.0,11
297,this film that i realised how great he actually was,0,1.0,11
298,found this move beautiful enjoyable and uplifting,1,1.0,11
299,small great film and thats right,1,1.0,11
300,every part are articulated quite well,1,1.0,11
301,not eat here again,1,1.0,11
302,i watched it recently on fox movie channel and was very disappointed,1,1.0,11
303,was new packaged nice works good no problems and it came in less time then i expected,1,1.0,11
304,v the day and its very quick and where i unwrapped it works well,1,1.0,11
305,lot of compliments on it,1,0.8181818181818182,11
306,only to find out not a darn thing worked,1,1.0,11
307,they burned the battery good,0,1.0,11
308,picked up speed and got right to the point,1,1.0,11
309,clock docking station without removing the case is a wind it is an excellent product,1,1.0,11
310,and the prices were very reasonable,1,1.0,11
311,service was very good,1,1.0,11
312,and seem to increase the sound volume and clarity,1,1.0,11
313,clever and a real crowdpleaserthis film still ranks among mickeys best films even after wonderful years,1,1.0,11
314,salt and the batter on the fish was chewy,1,1.0,11
315,silent to sound,0,1.0,11
316,is terrible,1,1.0,11
317,central character finds her room blown up,0,1.0,11
318,battery is terrible and full of static,1,1.0,11
319,or anything to speak of,0,1.0,11
320,car or wall outlet,0,1.0,11
321,it,0,1.0,11
322,back and forth several times not even a real treat,1,1.0,11
323,eye catching,1,0.6363636363636364,11
324,a month for the mains also uninspired,1,1.0,11
325,ring toneoverall good phone to buy,1,1.0,11
326,the primary plot line is mystifying,1,1.0,11
327,i have ever eat besides costcos,0,1.0,11
328,enough racial stereotypes and racial jokes to offend everyone,1,1.0,11
329,found a live green caterpillar in her salad,1,1.0,11
330,film actually is,0,1.0,11
331,buttons are placed perfectly,1,1.0,11
332,not worth your time and the experience has been a winner for us,0,0.8181818181818182,11
333,time on,0,1.0,11
334,dark and rude,1,1.0,11
335,a truly truly bad film he ever made,1,1.0,11
336,flowed smoothly and the acting was skilled,1,1.0,11
337,print is wonderfully wild,1,1.0,11
338,conclusion of the film,0,1.0,11
339,graphics are more intelligent than happy you havent gone to do yourself a disgrace to get together and great phone at dos gringos,0,1.0,11
340,also had to taste my moms multigrain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,1,1.0,11
341,if you are great,0,1.0,11
342,but this one,0,1.0,11
343,business dinner dollars elsewhere,0,1.0,11
344,deaf,0,1.0,11
345,a fantastic afternoon,1,1.0,11
346,chips that came with the,0,1.0,11
347,grease trap and only vegas buffet experience,0,1.0,11
348,and hope for the human race,0,1.0,11
349,to make them here,0,1.0,11
350,beep beep sound then says signal failed,1,1.0,11
351,we waited an hour for what was a breakfast i could have done times better at home,1,1.0,11
352,waste your money,1,1.0,11
353,phenomenal in place smelled like authentic thai ever quite pleased,1,1.0,11
354,is unusable in a moving car at freeway speed,1,1.0,11
355,contacts in and gets great reception,1,1.0,11
356,it scratched my ear,1,1.0,11
357,austens work you can skip this one,1,1.0,11
358,dualpurpose headset,0,1.0,11
359,wear glasses and that gets in the way of dramatic tension or conflict,0,1.0,11
360,other around us who came in later did,0,1.0,11
361,folks at postinos hope that came and the worst people i consider the extra bells whistles are just adorable,0,0.7272727272727273,11
362,and felt sick the rest of the family,0,1.0,11
363,i could return the unit and get back my money and got outta there,0,1.0,11
364,relation to the primary plot line is mystifying,1,1.0,11
365,phone for a refurb unit or something,0,1.0,11
366,the pleather case and forth several situations,0,1.0,11
367,mesquite flavor,0,1.0,11
368,sci fi film,0,1.0,11
369,and it came in less time then i expected,1,1.0,11
370,felt sick the heart,0,1.0,11
371,is no excuse for service here is rich so happy,0,0.7272727272727273,11
372,register,0,1.0,11
373,life a whole lot easier,0,1.0,11
374,good works fine,1,1.0,11
375,i wont be hosting his one,0,1.0,11
376,if it were possible to give them a try but was deeply disappointed,1,1.0,11
377,get cut off,0,1.0,11
378,unreliable im giving up,1,1.0,11
379,book thats how bad it is,1,1.0,11
380,however,0,1.0,11
381,on my belt and the headset lost signal,0,1.0,11
382,art movieit actually has a nice surprise,1,1.0,11
383,be back unless someone else is buying,0,1.0,11
384,good rice all the time,1,1.0,11
385,all warm and fuzzy inside,0,1.0,11
386,lasts only a rough draft was written and shooting began before a finished script was completed,0,1.0,11
387,know why they would not made amazing,0,1.0,11
388,awful it couldnt have even been created,1,1.0,11
389,been back every week since,1,1.0,11
390,motorola,0,1.0,11
391,scenes and food at freeway speed but i wasted my gosh,1,1.0,11
392,of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,1,1.0,11
393,it only set us up for disapppointment with our entrees,1,1.0,11
394,haunt but this little money back,0,1.0,11
395,think well be going back anytime soon,0,1.0,11
396,to wait over minutes to get my drink and longer to get arepas,1,1.0,11
397,im glad i found this product on amazon it is an amazingly important film to our table,1,1.0,11
398,the service and i felt like their guest for a special treat,1,1.0,11
399,touch of coziness,0,1.0,11
400,his son,0,1.0,11
401,overhaul,0,1.0,11
402,wasnt high priced,1,0.8181818181818182,11
403,i only like to a word of the service,0,1.0,11
404,we found this move beautiful enjoyable and uplifting,1,1.0,11
405,prosgood camera very nice pictures also has cool styles like black and white and more,1,1.0,11
406,as good the pizza which used to be amazing is doughy and flavorless,1,1.0,11
407,giallo subgenre,0,1.0,11
408,below two bars and thats three days without charging,1,0.7272727272727273,11
409,real sushi lovers lets be honest yama is not that good,1,1.0,11
410,effects were awful,1,1.0,11
411,i bougth it for my lc and its not working,1,1.0,11
412,cable did not work with my phone,1,1.0,11
413,ironman very friendly staff,1,1.0,11
414,ending credits,0,1.0,11
415,cult movie this is trash period,1,1.0,11
416,dark enough,0,1.0,11
417,really scary,1,1.0,11
418,charm is adorable and very eye catching,1,1.0,11
419,such an awesome movie that i bought it off of ebay,1,1.0,11
420,back here again,0,1.0,11
421,fantastic,1,1.0,11
422,transfers are very good,1,1.0,11
423,headset was a friends wedding,0,1.0,11
424,store be careful,0,1.0,11
425,this type of film,0,1.0,11
426,absolutely flatlined excuse for a restaurant,1,1.0,11
427,bad actors period,0,1.0,11
428,is a film about nothing just a pretext to show ridiculous action scenes,1,1.0,11
429,soon,0,1.0,11
430,winner,0,1.0,11
431,had better dialogue with his potted plants has it right,1,1.0,11
432,at all im editing is great time soon become a misplace,0,1.0,11
433,confortable to wear,1,1.0,11
434,extremely slow at best cheesecurds we had soundwise,1,1.0,11
435,handy detachable belt clip,0,1.0,11
436,a lot of serious mistakes,1,1.0,11
437,not be coming back,1,1.0,11
438,happier with it so far,1,1.0,11
439,were,0,1.0,11
440,possibly one of the most creative works of horror ever,1,1.0,11
441,this cutie,0,1.0,11
442,you are difficult to understand everything on this was too screamy not frightening in use the sort of man is not purchase,1,1.0,11
443,ive ever gone to a movie and disliked it as much,1,1.0,11
444,use,0,1.0,11
445,were too politically correct,1,0.9090909090909091,11
446,for sony ericsson wi but i dont have to jiggle the plug did not even good for camp value,1,1.0,11
447,ive only had my bluetooth for a few weeks but so far so good,1,1.0,11
448,great,1,1.0,11
449,ever hear on it are amazed at the quality was very excited to get some relief,1,1.0,11
450,been my choice headset for yearsgreat sound good volume good noise cancellation,1,1.0,11
451,and tinny,0,1.0,11
452,good product well made,1,1.0,11
453,i can think of a primal impulse of selfpreservation,0,1.0,11
454,there is not a quality restaurant,1,1.0,11
455,will not be getting that again,1,1.0,11
456,does get decent hamburger,1,1.0,11
457,with martin and wondered how long time it,0,1.0,11
458,case too small and is very confortable to wear for somewhat extended periods of time,1,1.0,11
459,is very appealing,1,0.7272727272727273,11
460,costs,0,1.0,11
461,make a call on these is an exercise in frustration,1,1.0,11
462,flat characters or the audience nearly half of whom walked out of a film,1,1.0,11
463,was a low budget as you clearly can see,1,1.0,11
464,with noca,0,1.0,11
465,had more than bars ever,0,1.0,11
466,likes beer ice cold or in this case even colder,0,1.0,11
467,delivering a convincing sincere performance,1,1.0,11
468,the food was very good and seasoned well,1,1.0,11
469,food came out disappointment ensued,1,1.0,11
470,at nobu so this place is really similar for half the price,1,1.0,11
471,again because it are looking for mediocre at best buffet in her robotic face moves in each much music or dvd,0,0.8181818181818182,11
472,here and crusty and a lovely film,1,0.6363636363636364,11
473,slim enough to fit into my alarm clock docking station without removing the case,1,1.0,11
474,never brought a salad we asked for it,1,1.0,11
475,stupid movie is courteous,1,0.9090909090909091,11
476,its welldesigned and very sharp the blue is a very average phone with bad battery life that operates on a weak network,1,1.0,11
477,the hard plastic cases,0,1.0,11
478,customer service anywhere,0,1.0,11
479,regardless the battery junk that i am very good side protection and worse than all,1,1.0,11
480,until this dish,0,1.0,11
481,much pasta but i love the homemade hand made pastas and thin pizzas here,1,1.0,11
482,was bad,1,1.0,11
483,and again,0,1.0,11
484,like it look at the side of course the flat characters werent cold,1,0.9090909090909091,11
485,too appealing,0,1.0,11
486,inside,0,1.0,11
487,outdoor patio so very delightful,1,1.0,11
488,venturing off the strip for the pork belly will return next time im in vegas,1,1.0,11
489,example of how hollywood used to exploit women for financial gain,1,1.0,11
490,of may be amazing job done to come back,0,1.0,11
491,advise to identify with a script was ever seeen,0,1.0,11
492,good quality though,1,1.0,11
493,waiting an hour and being seated i was not in the greatest of moods,1,1.0,11
494,phone put it all back together and then restart it,0,1.0,11
495,putting it on,0,1.0,11
496,and predictable,0,1.0,11
497,the website,0,1.0,11
498,particularly pleased with the acting ability of dwight schultz,1,1.0,11
499,to the camelback flower shop and cartel coffee,0,1.0,11
500,sentiment and heart,0,1.0,11
501,not the best,1,1.0,11
502,they have any from its tiny toons kept going for value,0,1.0,11
503,three broke within two months of use,1,1.0,11
504,this dribble watched it before putting it on,0,0.9090909090909091,11
505,other cartoon made me laugh in a really quiet area you almost hear nothing,1,0.8181818181818182,11
506,incredible challenges facing south africa,0,1.0,11
507,was lukewarm,1,1.0,11
508,pros,0,1.0,11
509,movie are also not bad as well,1,1.0,11
510,and would order another,1,1.0,11
511,is just lazy writing and here they come in thick and fast,1,1.0,11
512,this premise sound stupid thats because it is allot clearer on the ear,0,1.0,11
513,hours,0,1.0,11
514,all back together and then restart it,0,1.0,11
515,i was so tender and their beans,0,1.0,11
516,like this was done to cover up the subpar food,1,1.0,11
517,tiny and the drinks are weak people,1,1.0,11
518,glad i purchased it,1,1.0,11
519,i pulled up the time performance,0,1.0,11
520,future goremeister lucio fulci is a great experience,1,1.0,11
521,disapppointment with our entrees,1,1.0,11
522,service was there is amazing,1,1.0,11
523,blah,0,1.0,11
524,to refill my water before i struggle to wave you over for minutes,0,1.0,11
525,the battery capacity and for the ring tones sound volume and really nice pictures,1,1.0,11
526,trashy cult movie this is trash period,1,1.0,11
527,that the tracking was off,0,1.0,11
528,it works just peachykeen,1,1.0,11
529,the script,0,1.0,11
530,sauce is an absolutely flatlined excuse for a camera phone,1,1.0,11
531,food was probably be rushed,1,0.8181818181818182,11
532,alongside olivia de havilland was brilliant and the ending was fantastic,1,1.0,11
533,very very unreliable,1,1.0,11
534,of the way and being served by during the cingular att is a very long,0,1.0,11
535,hate earbugs avoid this phone by all means,1,1.0,11
536,this film over christmas and what a great double cheeseburger,0,1.0,11
537,the greek dressing was so tasty and the texture was just nasty,1,1.0,11
538,destroying the screen,0,1.0,11
539,within a rough draft was great time,0,1.0,11
540,many other around us who came in later did,0,1.0,11
541,oh so stale,1,1.0,11
542,time and now have my new spot,0,1.0,11
543,our vegetarian daughter,0,1.0,11
544,there was good audio,1,1.0,11
545,quality sushi it is not a quality restaurant,1,1.0,11
546,and not worth the price,1,1.0,11
547,this place a couple years ago and was not impressed,1,1.0,11
548,it does,0,1.0,11
549,would avoid this place if you are staying in the mirage,1,1.0,11
550,stay with his son,0,1.0,11
551,even in my bmw series which is fairly quiet i have trouble hearing what the other person is saying,1,1.0,11
552,direction and editing is astonishingly ham fisted,1,1.0,11
553,stable,0,1.0,11
554,four kids get themselves into is absolutely hilarious to watch,1,1.0,11
555,phone is reasonably good,1,1.0,11
556,salsa were really good the salsa was very fresh,1,1.0,11
557,when its so terrible,0,1.0,11
558,a lilt in my entire life,0,1.0,11
559,customize your order any way youd like my usual is eggplant with green bean stir fry love it,1,1.0,11
560,genre will be back,0,1.0,11
561,movie was a huge disappointment,1,1.0,11
562,they burned the saganaki,1,1.0,11
563,visit,0,1.0,11
564,opens the battery connection is broken and the device is unacceptableunless you are in a really quiet area you almost hear nothing,1,1.0,11
565,lets look at the major flaw in the film they destroy latifas character,1,1.0,11
566,took over and great network coverage in,0,1.0,11
567,dit not match picture,1,1.0,11
568,is not tip lady at first visit,0,1.0,11
569,the mic,0,1.0,11
570,its so sorry i felt when my purchase ive stepped foot into that minutes to go wrong,1,0.9090909090909091,11
571,and break easily,0,0.9090909090909091,11
572,i love this is essentially you have ever gone,0,1.0,11
573,is real good,1,1.0,11
574,bullock movie since speed but not scared at all to recommend,1,1.0,11
575,it was way to expensive,1,1.0,11
576,cold not enough flavor or just bad,1,1.0,11
577,my moms multigrain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,1,1.0,11
578,perfectly between overacting and underacting,1,1.0,11
579,nobody identifies with these characters because theyre all cardboard cutouts and buttons are placed perfectly,1,1.0,11
580,expected but it does not match picture,1,1.0,11
581,white corn beateous,0,1.0,11
582,hopeless overacting by everyone who gets shot top off a real waste of space and time,1,1.0,11
583,talk,0,1.0,11
584,case too small and is very difficult to install,1,1.0,11
585,to deal with and they dont always honor pizza hut coupons,1,1.0,11
586,show,0,1.0,11
587,my score is mostly for the plot,1,1.0,11
588,to have much rather eat here for what,0,1.0,11
589,the specs alone makes you say wow,1,1.0,11
590,hybrid palmtopcameracellphone and dance scene after i use some pretty large rowdy table and disliked it,0,1.0,11
591,ie,0,1.0,11
592,i have been here several times in the past and certainly doesnt work here,0,1.0,11
593,low rent michael ironside,0,1.0,11
594,disappointed although some blame needs to be placed at her door,1,1.0,11
595,have only had it for a few minutes just to get some relief,1,0.9090909090909091,11
596,really want to make your experience a good one,0,1.0,11
597,suddenly died in a couple years,1,1.0,11
598,overall i went on reccomendation from his voiceovers were really worth viewing and the ambience is torture,1,1.0,11
599,volume and of art,0,1.0,11
600,on flavor,0,1.0,11
601,dont like a brilliant,0,1.0,11
602,grilled pizza reminded me of legit italian pizza,1,1.0,11
603,am giving it such a bad review,1,1.0,11
604,prays previous film hype,0,1.0,11
605,cooked just right,1,1.0,11
606,great the bumpers with the lights is very appealing,1,1.0,11
607,an iriver spinn with the only possible,0,1.0,11
608,so does this cheap little phone,0,1.0,11
609,bells whistles are mediocre,1,1.0,11
610,disrespected how this television series a unique menu was forced to this greedy corporation will get great customer service,0,1.0,11
611,at best,0,1.0,11
612,fun chef,0,1.0,11
613,i got was definitely reheated and was very bad customer service,1,1.0,11
